customer_id,Customer_Age,Income_Category,Total_Relationship_Count,Total_Trans_Amt,Total_Trans_Ct,Months_Inactive_12_mon,cluster,churned,churn_probability,propensity_score,targeting_band
768805383,45,$60K - $80K,5,1144,42,1,3,0,0.00097174465,,
818770008,49,Less than $40K,6,1291,33,1,3,0,0.00022026732,,
713982108,51,$80K - $120K,4,1887,20,1,3,0,0.0002394201,,
769911858,40,Less than $40K,3,1171,20,4,0,0,0.00086707255,,
709106358,40,$60K - $80K,5,816,28,1,3,0,0.4126454,,
713061558,44,$40K - $60K,3,1088,24,1,3,0,0.014714863,,
810347208,51,$120K +,6,1330,31,1,2,0,0.0007250185,,
818906208,32,$60K - $80K,2,1538,36,2,2,0,0.0085327085,0.52697396,Test
710930508,37,$60K - $80K,5,1350,24,2,3,0,0.00040832622,,
719661558,48,$80K - $120K,6,1441,32,3,2,0,0.0012430116,,
708790833,42,$120K +,5,1201,42,3,2,0,0.0030854312,,
710821833,65,$40K - $60K,6,1314,26,2,3,0,0.00025311654,,
710599683,56,$80K - $120K,3,1539,17,6,3,0,0.00022262575,,
816082233,35,$60K - $80K,5,1311,33,1,3,0,0.00041359945,,
712396908,57,Less than $40K,5,1570,29,2,2,0,0.0012370275,,
714885258,44,$80K - $120K,5,1348,27,1,3,0,0.00048493734,,
709967358,48,$80K - $120K,6,1671,27,2,3,0,0.0012946392,,
753327333,41,$80K - $120K,4,1028,21,4,3,0,0.007435091,,
806160108,61,$40K - $60K,2,1336,30,2,0,0,0.0041605625,0.68885475,Priority
709327383,45,Unknown,6,1207,21,1,3,0,0.00060705276,,
806165208,47,$60K - $80K,5,1178,27,2,3,0,0.0004488775,,
708508758,62,Less than $40K,2,692,16,3,2,1,0.9995437,0.18873057,Low priority
784725333,41,$40K - $60K,4,931,18,2,3,0,0.014048209,,
811604133,47,Less than $40K,3,1126,23,3,2,0,0.04496598,,
789124683,54,$80K - $120K,4,1110,21,2,2,0,0.017957656,,
771071958,41,Less than $40K,6,1051,22,1,3,0,0.022425106,,
720466383,59,$40K - $60K,4,1197,23,1,3,0,0.00040601633,,
804424383,63,$60K - $80K,3,1904,40,3,3,0,0.015565736,,
718813833,44,Unknown,5,1052,18,2,3,0,0.04194201,,
806624208,47,$40K - $60K,6,1045,38,0,3,0,0.006171164,,
778348233,53,$80K - $120K,3,1038,25,2,0,0,0.051841166,,
712991808,53,$60K - $80K,2,1596,26,5,0,0,0.001994424,0.50328165,Test
709029408,41,$60K - $80K,4,1589,24,1,3,0,0.0003774923,,
788658483,53,Less than $40K,5,1411,28,2,0,0,0.0002828182,,
787937058,58,$80K - $120K,6,1291,24,2,2,0,0.0008294904,,
715318008,55,Less than $40K,4,1407,43,2,0,0,0.012134257,,
713962233,55,Less than $40K,6,1877,37,2,0,0,0.00047998145,,
785432733,42,Less than $40K,2,966,22,3,3,0,0.553961,0.4092079,Low priority
715190283,57,$40K - $60K,3,1464,28,3,2,0,0.013673854,,
708300483,66,Unknown,5,704,16,4,2,1,0.997769,,
827111283,45,$80K - $120K,2,1109,28,2,2,0,0.9594634,0.14674489,Low priority
758551608,51,$40K - $60K,4,1347,28,1,3,0,0.001333516,,
773146383,50,$40K - $60K,3,1756,33,2,3,0,0.0024696458,,
778493808,49,$60K - $80K,5,1756,32,2,3,0,0.0022999735,,
720572508,38,Unknown,2,1042,23,3,2,0,0.3098509,0.40990356,Low priority
712661433,49,$80K - $120K,3,1444,28,2,3,0,0.0035446247,,
